Date,Description,Amount,Type,Category
2026-09-01,TechCorp Salary,85000,Income,Salary
2026-09-01,Apartment Rent,25000,Expense,Housing
2026-09-02,Grocery Store,4500,Expense,Food
2026-09-02,Spotify Premium,119,Expense,Subscriptions
2026-09-03,Uber Ride,350,Expense,Transport
2026-09-04,Netflix Subscription,649,Expense,Subscriptions
2026-09-05,Weekend Dinner,2500,Expense,Food
2026-09-06,Coffee Shop,450,Expense,Food
2026-09-07,Electricity Bill,1800,Expense,Housing
2026-09-08,Amazon Shopping,3200,Expense,Shopping
2026-09-10,Internet Bill,999,Expense,Housing
2026-09-12,Pharmacy,650,Expense,Health
2026-09-14,Gas Station,2000,Expense,Transport
2026-09-15,Freelance Client,15000,Income,Side Hustle
2026-09-15,Gym Membership,1500,Expense,Health
2026-09-17,Movie Tickets,800,Expense,Entertainment
2026-09-18,Grocery Store,3800,Expense,Food
2026-09-20,Uber Ride,420,Expense,Transport
2026-09-22,Restaurant Lunch,1200,Expense,Food
2026-09-24,Bookstore,950,Expense,Shopping
2026-09-25,Water Bill,400,Expense,Housing
2026-09-27,Concert Tickets,4500,Expense,Entertainment
2026-09-28,Phone Bill,750,Expense,Housing
2026-09-29,Coffee Shop,320,Expense,Food
2026-09-30,Dividend Income,2500,Income,Investments
